ProductName,Season ID,ProductDate
שלב הבתים משחק 1: עירוני נס ציונה,24,2024-09-11
שלב הבתים משחק 3: הפועל גליל עליון,24,2024-09-18
Regular Season: Round 1: Valencia Basket 🚗,24,2024-09-25
שלב הבתים משחק 2: הפועל גלבוע גליל,24,2024-09-15
Round 2: Hapoel Tel Aviv 🚗,24,2024-10-13
חניה: הפועל גליל עליון 18.9.2024,24,2024-09-18
Regular Season: Round 3: Hamburg Towers 🚗,24,2024-10-09
Round 1: Ironi Ness Ziona  🚗,24,2024-10-06
Round 4: Hapoel Holon 🏠,24,2024-10-26
חניה: הפועל תל אביב 13.10.2024,24,2024-10-13
Regular Season: Round 5: U-BT CLUJ-NAPOCA 🏠,24,2024-10-23
חניה: הפועל חולון 27.10,24,2024-10-26
ליגת ווינר סל מחזור 17: גלבוע גליל 🏠,24,2025-02-16
Round 3: Ironi Kiryat Ata (Malcha) 🏠,24,2024-10-20
Round 5: Hapoel Gilboa Galil 🚗,24,2024-11-02
Round 8: Hapoel Afula 🏠,24,2024-11-16
Round 7: UMANA REYER VENICE 🏠,24,2024-11-06
Round 8: COSEA JL BOURG-EN-BRESSE 🏠,24,2024-11-12
Regular Season: Round 11: 7BET-LIETKABELIS PANEVEZYS 🏠,24,2024-12-10
חניה: הפועל עפולה 16.11,24,2024-11-16
🚗 מחזור 8: הפועל באר שבע דימונה,24,2024-12-01
🏠 מחזור 9: הפועל ״בנק יהב״ ירושלים -הפועל גליל עליון,24,2024-12-07
"🏠 מחזור11: הפועל ״בנק יהב״ ירושלים -מכבי תא""",24,2024-12-24
חניה: גליל עליון 7.12.2024,24,2024-12-07
חניה: מכבי תל אביב 22.12,24,2024-12-22
Round 10: Bnei Herzeliya🚗,24,2024-12-14
🚗 מחזור 12: אליצור נתניה,24,2024-12-29
🏠 מחזור 13 (רדיוס בחולון):  מכבי עירוני רמת גן,24,2025-01-05
"חניה: מכבי עירוני רג (רדיוס בחולון)""",24,2025-01-05
"מחזור 14: הפועל תא 🚗""",24,2025-01-12
Round 15: CEDEVITA OLIMPIJA LJUBLJANA 🏠,24,2025-01-14
רבע גמר גביע: באר שבע/דימונה באשדוד,24,2025-01-19
מחזור 15: הפועל חולון 🚗,24,2025-01-25
מחזור 16: קרית אתא 🚗,24,2025-02-02
חצי גמר גביע: הפועל ירושלים - בני הרצליה 🏆,24,2025-02-09
גמר גביע המדינה: מכבי תל אביב 🏆🏆🏆,24,2025-02-13
חניה הפועל גלבוע גליל 16.2,24,2025-02-16
ליגת ווינר סל מחזור 18: הרצליה 🏠 ,24,2025-03-02
חניה: בני הרצליה 2.3,24,2025-03-02
CB Gran Canaria 🏠,24,2025-03-11
מחזור 19: רמת גן  🚗,24,2025-03-06
ליגת ווינר סל מחזור 20: הפועל חיפה 🏠,24,2025-03-17
חניה: הפועל חיפה 17.3,24,2025-03-17
מחזור 21: עפולה 🚗,24,2025-03-23
מחזור 22: אליצור עירוני נתניה 🏠,24,2025-03-30
חניה: אליצור נתניה 30.3,24,2025-03-30
מחזור 23: מכבי תל אביב 🚗,24,2025-04-08
מחזור 24: הפועל באר שבע - דימונה 🏠,24,2025-04-11
מחזור 25: גליל עליון 🚗,24,2025-04-16
חניה: הפועל באר שבע דימונה 11.4,24,2025-04-11
מחזור 26: עירוני נס ציונה 🏠,24,2025-04-22
חניה: עירוני נס ציונה 22.4,24,2025-04-22
רבע גמר 1: מכבי  עירוני רמת גן 🏠,24,2025-05-02
חצי גמר משחק 2: הפועל תל אביב 🏠,24,2025-05-28
Administrator,24,
חניה: מכבי עירוני רמת גן 2.5,24,2025-05-02
רבע גמר 2: מכבי עירוני רמת גן 🚗,24,2025-05-07
רבע גמר 3: מכבי  עירוני רמת גן 🏠,24,2025-05-10
חניה: מכבי עירוני רמת גן 10.5,24,2025-05-10
חצי גמר משחק 1: הפועל תל אביב 🚗,24,2025-05-25
חניה פנימית : הפועל תל אביב 28.5,24,2025-05-28
חניית VIP חיצונית הפועל תל אביב 28.5,24,2025-05-28
חצי גמר משחק 3: הפועל תל אביב 🚗,24,2025-06-03
גמר ליגת ווינר משחק 1: מכבי תל אביב 🚗,24,2025-06-10
גמר ליגת ווינר משחק 2: מכבי תל אביב 🏠,24,2025-06-15
חניה חיצונית VIP מכבי תל אביב 12.6,24,2025-06-12
חניה פנימית  מכבי תל אביב 12.6,24,2025-06-12
גמר ליגת ווינר משחק 3: מכבי תל אביב 🚗,24,2025-06-13
