client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
10003,0,1,1,0,0,0,1,1,0,0,1
10010,1,1,1,1,1,1,1,1,1,1,1
10011,0,1,1,1,1,1,1,1,1,1,1
10011,0,1,1,1,1,1,1,1,1,1,1
10011,0,1,1,1,1,1,1,1,1,1,1
10528,0,1,1,1,1,1,1,1,1,1,1
10529,1,1,1,1,1,1,1,1,1,1,1
10531,0,0,1,1,1,1,1,1,1,1,1
10536,1,1,1,1,1,1,1,1,1,1,1
10538,0,1,1,1,1,1,1,1,1,1,1
10541,1,1,1,1,1,1,1,1,1,1,1
10542,1,1,1,0,0,1,1,1,1,1,1
10545,1,1,1,1,1,1,1,1,1,1,1
10547,0,1,1,1,1,1,1,1,1,1,1
10548,1,1,1,1,1,1,1,1,1,1,1
10555,1,1,1,1,1,1,1,1,1,1,1
10562,0,0,1,0,0,0,1,1,1,1,1
10567,1,1,1,1,1,1,1,1,1,1,1
10568,1,1,1,1,1,1,1,1,1,1,1
10570,1,1,1,1,1,1,1,1,1,1,1
10571,1,1,1,1,1,1,1,1,1,1,1
10572,1,1,1,1,1,1,1,1,1,1,1
10575,1,1,1,1,1,1,1,1,1,1,1
10576,1,1,1,1,1,1,1,1,1,1,1
10577,1,1,1,1,1,1,1,1,1,1,1
10578,1,1,1,1,1,1,1,1,1,1,1
10579,1,1,1,1,1,1,1,1,1,1,1
10580,1,1,1,1,1,1,1,1,1,1,1
10586,1,1,1,1,1,1,1,1,1,1,1
10587,1,1,1,1,1,1,1,1,1,1,1
10588,1,1,1,1,1,1,1,1,1,1,1
10589,1,1,1,1,1,1,1,1,1,1,1
10591,1,1,1,1,1,1,1,1,1,1,1
10594,1,1,1,1,1,1,1,1,1,1,1
10595,1,1,1,1,1,1,1,1,1,1,1
10597,1,1,1,1,1,1,1,1,1,1,1
10598,1,1,1,1,1,1,1,1,1,1,1
10605,1,1,1,1,1,1,1,1,1,1,1
10606,1,1,1,1,1,1,1,1,1,1,1
10621,1,1,1,1,1,1,1,1,1,1,1
10628,1,1,1,1,1,0,0,1,1,1,1
10629,1,1,1,1,1,1,1,1,1,1,1
10630,1,1,1,1,1,1,1,1,1,1,1
10631,1,1,1,1,1,1,1,1,1,1,1
10636,1,1,1,1,1,1,1,1,1,1,1
10638,0,0,1,1,1,1,1,1,1,1,1
10639,0,0,1,1,1,1,1,1,1,1,1
10640,0,1,1,1,1,1,1,1,1,1,1
10640,0,1,1,1,1,1,1,1,1,1,1
10642,1,1,1,1,1,1,1,1,1,1,1
10643,1,1,1,0,0,0,0,0,0,0,0
10644,1,1,1,1,1,1,1,1,1,1,1
10646,0,1,1,1,1,0,0,1,1,1,1
10647,1,1,1,0,0,1,1,1,1,1,1
10650,1,1,1,1,1,1,1,1,1,1,1
10654,0,1,1,1,1,1,1,1,1,1,1
10655,1,1,1,1,1,1,1,1,1,1,1
10661,1,1,1,1,1,1,1,1,1,1,1
10662,1,1,1,1,1,1,1,1,1,1,1
10664,1,1,1,1,1,1,1,1,1,1,1
10666,1,1,1,1,1,1,1,1,1,1,1
10671,1,1,1,1,1,1,1,1,1,1,1
10673,1,1,1,1,1,1,1,1,1,1,1
10678,1,1,1,1,1,1,1,1,1,1,1
10680,1,1,1,1,1,1,1,1,1,1,1
10681,1,1,1,1,1,1,1,1,1,1,1
10684,1,1,1,1,1,1,0,1,1,1,1
10688,0,1,1,1,1,1,1,1,1,1,1
10692,1,1,1,1,1,1,1,1,1,1,1
10694,1,1,1,1,1,1,1,1,1,1,1
10696,1,1,1,1,1,1,1,1,1,1,1
10697,1,1,1,1,1,1,1,1,1,1,1
10711,0,1,1,1,1,1,1,1,1,1,1
10712,1,1,1,1,1,1,1,1,1,1,1
