"Installment Ticket Id","InstallmentTransactionId","InstallmentDate","InstallmentValueDate","InstallmentProducts","InstallmentPaymentPrice","InstallmentProductPrice","InstallmentPaymentExtRef","InstallmentProductExtRef","Installments"
"","3748050","01/07/2025","01/07/2025","Credit card","2520","","70100","",""
"902409","3748050","01/07/2025","","מנוי לעונת 2025/2026","","1320","","4240",""
"902410","3748050","01/07/2025","","מנוי לעונת 2025/2026","","1200","","4240",""
"","3748051","01/07/2025","01/07/2025","Credit card","4050","","70100","",""
"902414","3748051","01/07/2025","","מנוי לעונת 2025/2026","","1200","","4240",""
"902411","3748051","01/07/2025","","מנוי לעונת 2025/2026","","1650","","4240",""
"902412","3748051","01/07/2025","","מנוי לעונת 2025/2026","","1200","","4240",""
"","3748121","01/07/2025","01/07/2025","Credit card","-1300","","70100","",""
"237310","3748121","01/07/2025","","מנוי לעונת 2025/2026","","-1300","","4240",""
"","3748124","01/07/2025","01/07/2025","Credit card","1040","","70100","",""
"902452","3748124","01/07/2025","","מנוי לעונת 2025/2026","","1040","","4240",""
"","3748140","01/07/2025","01/07/2025","Credit card","950","","70100","",""
"902486","3748140","01/07/2025","","מנוי לעונת 2025/2026","","950","","4240",""
"","3748153","01/07/2025","01/07/2025","Credit card","-2100","","70100","",""
"237316","3748153","01/07/2025","","מנוי לעונת 2025/2026","","-2100","","4240",""
"","3748162","01/07/2025","01/07/2025","Credit card","1800","","70100","",""
"902531","3748162","01/07/2025","","מנוי לעונת 2025/2026","","900","","4240",""
"902530","3748162","01/07/2025","","מנוי לעונת 2025/2026","","900","","4240",""
"","3748163","01/07/2025","01/07/2025","Credit card","-2100","","70100","",""
"237318","3748163","01/07/2025","","מנוי לעונת 2025/2026","","-2100","","4240",""
"","3748170","01/07/2025","01/07/2025","Credit card","2560","","70100","",""
"902546","3748170","01/07/2025","","מנוי לעונת 2025/2026","","1280","","4240",""
"902547","3748170","01/07/2025","","מנוי לעונת 2025/2026","","1280","","4240",""
"","3748179","01/07/2025","01/07/2025","Credit card","4305","","70100","",""
"902567","3748179","01/07/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"902565","3748179","01/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"902566","3748179","01/07/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"902568","3748179","01/07/2025","","מנוי לעונת 2025/2026","","855","","4240",""
"","3748181","01/07/2025","01/07/2025","Credit card","2150","","70100","",""
"902573","3748181","01/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"902572","3748181","01/07/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"","3748182","01/07/2025","01/07/2025","Credit card","1300","","70100","",""
"902575","3748182","01/07/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"","3748183","01/07/2025","01/07/2025","Credit card","840","","70100","",""
"902574","3748183","01/07/2025","","מנוי לעונת 2025/2026","","840","","4240",""
"","3748206","01/07/2025","01/07/2025","Credit card","1570","","70100","",""
"902609","3748206","01/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"902610","3748206","01/07/2025","","מנוי לעונת 2025/2026","","720","","4240",""
"","3748208","01/07/2025","01/07/2025","Credit card","-850","","70100","",""
"237322","3748208","01/07/2025","","מנוי לעונת 2025/2026","","-850","","4240",""
"","3748218","01/07/2025","01/07/2025","Credit card","2970","","70100","",""
"902628","3748218","01/07/2025","","מנוי לעונת 2025/2026","","1650","","4240",""
"902627","3748218","01/07/2025","","מנוי לעונת 2025/2026","","1320","","4240",""
"","3748222","01/07/2025","01/07/2025","Credit card","720","","70100","",""
"902626","3748222","01/07/2025","","מנוי לעונת 2025/2026","","720","","4240",""
"","3748224","01/07/2025","01/07/2025","Credit card","3520","","70100","",""
"902637","3748224","01/07/2025","","מנוי לעונת 2025/2026","","1760","","4240",""
"902638","3748224","01/07/2025","","מנוי לעונת 2025/2026","","1760","","4240",""
